user_id,type,ts
U02KN69U67L,help,2023-10-12 20:55:22.367912
U02KN69U67L,help,2023-10-12 20:55:55.420833
U02KN69U67L,prusa_1,2023-10-12 20:56:53.519105
U02KN69U67L,help,2023-10-12 21:02:54.093846
U02KN69U67L,help,2023-10-12 21:03:35.985964
U02KN69U67L,help,2023-10-12 21:03:52.378618
U02KN69U67L,prusa_1,2023-10-12 21:12:16.406430
U02KN69U67L,prusa_1,2023-10-12 21:14:04.091359
U02KN69U67L,prusa_1,2023-10-12 21:15:32.488577
U02KN69U67L,help,2023-10-12 21:16:19.961707
U02KN69U67L,prusa_1,2023-10-12 21:16:33.234004
U02KN69U67L,help,2023-10-12 21:18:15.314038
U02KN69U67L,prusa_1,2023-10-12 21:18:34.736469
U02KN69U67L,prusa_1,2023-10-12 21:19:12.035336
U02KN69U67L,help,2023-10-12 21:56:12.812970
U02KN69U67L,prusa_1,2023-10-12 22:16:27.052903
U02KN69U67L,help,2023-10-12 22:16:30.412140
U02KN69U67L,help,2023-10-12 22:16:55.678613
U02KN69U67L,help,2023-10-12 22:17:54.486265
U02KN69U67L,help,2023-10-12 22:17:55.495418
U02KN69U67L,help,2023-10-12 22:19:28.318228
U02KN69U67L,help,2023-10-12 22:22:21.863754
U02KN69U67L,help,2023-10-12 22:23:35.244150
U02KN69U67L,help,2023-10-12 22:26:36.177311
U02KN69U67L,help,2023-10-12 22:28:11.561247
U02KN69U67L,help,2023-10-12 22:29:05.124276
U02KN69U67L,help,2023-10-12 22:29:30.033799
U02KN69U67L,help,2023-10-12 22:59:56.011054
